id,count
ADE_train_00003661,19
ADE_train_00003722,42
ADE_train_00013827,14
ADE_train_00009835,9
ADE_train_00002932,31
ADE_train_00005363,13
ADE_train_00004972,12
ADE_train_00003362,38
ADE_train_00018933,12
ADE_train_00003034,18
ADE_train_00011394,43
ADE_train_00002873,19
ADE_train_00005055,11
ADE_train_00007338,11
ADE_train_00011673,17
ADE_train_00000888,19
ADE_train_00010626,26
ADE_train_00011717,9
ADE_train_00012286,15
ADE_train_00016496,20
ADE_train_00007976,16
ADE_train_00005356,7
ADE_train_00010956,17
ADE_train_00004135,20
ADE_train_00015208,26
ADE_train_00007570,22
ADE_train_00012568,16
ADE_train_00016105,15
ADE_train_00009188,11
ADE_train_00015930,7
ADE_train_00012828,12
ADE_train_00013058,47
ADE_train_00001392,26
ADE_train_00009803,11
ADE_train_00002267,12
ADE_train_00005046,8
ADE_train_00003931,13
ADE_train_00009551,29
ADE_train_00002724,11
ADE_train_00019795,16
ADE_train_00001393,23
ADE_train_00018338,9
ADE_train_00016150,22
ADE_train_00007157,13
ADE_train_00008611,22
ADE_train_00013546,5
ADE_train_00007863,10
ADE_train_00005545,27
ADE_train_00006760,11
ADE_train_00016126,8
ADE_train_00008929,17
ADE_train_00009954,27
ADE_train_00016289,10
ADE_train_00019116,14
ADE_train_00019142,13
ADE_train_00004411,15
ADE_train_00003994,14
ADE_train_00011571,37
ADE_train_00010532,11
ADE_train_00007493,11
ADE_train_00018431,23
ADE_train_00004057,20
ADE_train_00017720,15
ADE_train_00019521,13
ADE_train_00003584,25
ADE_train_00009150,10
ADE_train_00009960,13
ADE_train_00018303,15
ADE_train_00019049,14
ADE_train_00004610,7
ADE_train_00010435,11
ADE_train_00009195,35
ADE_train_00010281,35
ADE_train_00016188,9
ADE_train_00000101,28
ADE_train_00009639,20
ADE_train_00015381,35
ADE_train_00013405,35
ADE_train_00008072,5
ADE_train_00012130,10
ADE_train_00003109,9
ADE_train_00008317,24
ADE_train_00009224,18
ADE_train_00018762,9
