id,count
574357,20
498669,21
43347,15
226544,9
424412,14
435425,9
323599,23
430532,33
345838,13
457086,29
421488,42
335590,22
143348,33
443944,30
431817,24
453037,21
121356,14
196870,15
158908,5
66537,21
484749,10
451720,28
311220,12
80200,20
251418,28
226528,16
100378,24
489440,19
326811,16
180129,8
381642,18
457660,21
120778,28
548791,21
336395,22
370602,15
308353,24
76872,15
393126,15
223497,19
390366,17
204345,16
428333,14
56134,15
8350,11
517176,20
38645,15
392556,10
66297,19
389206,23
385653,14
475883,10
257615,14
504492,17
191803,11
453164,13
256659,21
430167,51
251312,18
235687,11
250597,11
85893,43
419158,18
194700,17
527631,7
211632,24
196917,17
111409,6
516808,21
535663,19
135171,6
472348,21
313256,13
169094,30
236841,22
138477,10
436306,13
306365,15
408163,16
456608,24
368780,15
100910,38
333533,14
11260,17
489605,9
397269,6
369253,24
379564,12
113360,12
531349,24
537631,18
372583,11
499267,19
333894,14
292232,7
296192,19
473320,34
134926,7
227418,10
136584,14
476864,12
302655,13
272119,13
229875,21
225587,12
120441,33
100564,19
545673,20
129041,9
338741,10
232840,18
505539,11
562261,9
290981,16
526312,15
353792,29
192998,20
428895,11
63860,16
501565,21
137100,13
192655,20
446618,17
207573,18
253890,5
581227,17
78575,17
391145,12
27270,8
427901,15
353933,18
125273,13
57535,17
346851,9
404004,7
374125,7
255568,21
160708,17
156776,29
496732,19
198255,15
547817,7
392915,16
208236,19
535591,25
277576,19
41074,12
42507,17
206036,17
242379,15
215581,12
487264,6
233817,22
155914,17
78023,12
360910,9
416911,36
411201,11
533218,29
501153,13
201599,18
326210,27
538423,5
426595,5
406097,12
28343,17
43133,7
233902,21
781,12
312352,18
166376,10
94975,19
508872,10
482300,23
506296,34
184037,13
525100,10
177492,7
34283,21
420225,10
209654,19
527476,31
5088,11
469838,28
554936,19
529954,9
202522,20
258174,13
18534,21
556568,20
189425,24
142390,19
185225,17
291107,23
340270,5
32220,25
417716,11
230291,16
281355,21
132768,12
492444,32
345781,28
389681,11
405250,12
43734,5
349512,20
57466,14
317935,20
98981,18
178577,16
369259,36
153520,21
182995,7
227250,13
479360,15
71713,11
443974,13
175439,16
43753,31
343165,22
533156,9
176726,10
567562,29
343157,22
96716,26
388293,6
379596,22
325089,27
518324,26
351910,9
308744,11
7796,32
39865,15
352307,15
4079,12
380820,16
503059,9
33429,27
128912,11
82940,17
389256,34
553997,16
221903,37
422268,6
355385,21
492008,22
8429,42
239752,11
147404,15
322324,22
213429,24
242510,31
479666,47
544263,6
554433,29
49331,17
485491,26
85750,16
510290,30
176938,12
140244,16
110901,14
364608,20
353807,11
244124,7
389654,11
41008,14
204289,8
299647,7
277955,17
361480,17
151054,27
448547,30
236125,29
365507,20
220915,9
311080,30
380528,13
335513,20
179814,21
348609,31
165410,22
561789,19
237715,6
175013,26
240457,27
578056,12
364369,10
554238,29
135327,10
532335,11
580257,29
18155,9
210071,11
163985,14
399232,20
37655,22
52938,7
89991,13
261521,19
243401,7
483897,22
252364,13
70230,17
178746,21
307507,9
86119,14
116393,19
229156,25
24629,12
271301,24
359308,14
553698,11
228025,6
282456,15
50462,39
262031,10
253915,20
268793,9
408792,21
443605,10
234768,34
73310,28
245631,5
270709,17
21320,15
560270,14
242909,12
532735,12
579232,47
277775,32
489944,16
69576,19
535262,14
173350,19
445893,21
25665,11
28039,8
253049,4
112811,55
438751,9
149184,20
232011,23
229995,15
64704,18
75646,31
572210,14
143612,9
532589,21
30565,20
154379,18
509914,21
145139,18
489510,6
242452,21
33146,19
324936,17
411853,12
74984,12
392153,7
538132,10
6422,17
414289,22
500765,6
102787,16
561641,32
3442,26
322094,27
151778,43
5617,15
132644,39
221661,15
320537,9
469834,10
577527,16
142349,16
305168,10
147798,9
168129,5
297514,15
376153,7
224391,13
204067,21
425077,29
372112,17
125687,21
140328,20
144937,33
421206,15
383764,4
304240,15
337525,12
433202,16
220531,29
345787,32
333575,22
576582,20
259745,9
495064,12
192744,7
370103,15
68408,16
32566,15
366713,14
383819,18
199963,18
256706,10
150919,11
276870,16
478859,20
164918,8
459799,11
64816,26
279948,28
509023,20
362184,8
51285,9
292356,20
487036,11
225160,21
148809,20
447375,17
430265,24
265196,19
461098,8
259187,22
495020,20
7839,12
479168,21
69572,16
481581,21
273081,30
368268,12
243947,11
369998,9
255248,29
402562,15
369213,17
287903,26
104349,27
103296,8
537284,23
562428,30
363559,11
226268,17
510626,11
430265,27
148785,16
496556,33
120846,13
489343,12
300137,23
30443,26
480023,12
498363,15
58732,11
255419,22
362825,14
214007,21
371004,14
410097,8
77375,14
495750,19
29444,20
366031,20
427348,26
161807,19
503250,13
271398,20
189614,25
83159,13
51680,13
190546,15
196197,17
138653,12
152436,28
554668,18
519625,17
409591,11
6437,10
500390,27
435975,30
1852,10
41231,35
516981,10
93773,14
518546,19
412917,15
519639,14
112577,6
212011,37
154351,15
375509,19
430346,32
516867,36
163927,8
278601,12
570785,12
442726,9
416355,21
308139,19
358685,24
50863,8
358198,15
184585,23
420466,6
446108,18
298316,8
139270,10
40621,18
187901,13
3983,20
530706,26
36487,12
305168,16
45729,17
270109,28
159375,9
488584,25
474984,23
368321,19
265329,5
426247,18
256664,21
32523,13
508836,18
277435,18
27343,19
539967,37
460863,17
78621,9
260363,21
276444,7
38662,21
40317,11
415530,19
332125,13
570810,11
496362,16
438807,8
500977,12
212893,10
45314,20
567329,10
50256,10
571553,11
547528,22
310890,20
369190,11
88562,31
291206,8
108360,21
54401,18
527751,9
553753,19
373318,11
243222,24
570085,10
153067,18
316499,22
504813,7
322203,53
2150,15
52936,26
428816,36
360931,12
255741,14
85151,15
195294,24
519168,19
285883,25
85291,21
44171,20
373033,18
162930,17
66041,21
53169,24
398175,14
340971,25
502410,11
216766,18
439199,11
579906,31
339462,10
94593,24
461301,7
325770,19
17696,28
356068,13
431922,30
560700,10
358237,21
501889,28
140850,22
24086,32
479769,19
99707,18
31240,11
471,7
508950,25
458925,17
42169,16
443870,9
118968,10
210752,9
273188,17
533511,12
395337,6
538058,7
570857,13
116229,34
567552,21
435576,16
299134,9
114880,13
27330,30
148184,16
346345,19
317286,14
114348,25
26448,6
71618,8
254301,18
539189,19
381163,18
10785,14
276696,13
284676,11
206934,15
110092,20
523109,18
1987,12
576307,11
300510,19
255558,10
208849,23
511780,12
280607,23
100661,18
464033,7
419712,11
577140,12
271806,36
350879,16
539604,4
102704,25
228209,13
359115,28
459050,24
281188,10
42534,6
14892,19
451324,23
118356,20
387480,32
275190,37
407737,5
270135,17
283060,19
204420,14
52131,20
427310,26
497402,23
192764,10
3737,13
286936,34
65831,6
404229,16
131366,19
197406,14
259005,26
20588,20
175734,27
569607,18
371007,18
565918,21
432967,18
447364,9
69625,19
545476,16
524361,7
374725,8
435913,7
436318,11
69536,8
248396,11
354309,17
66253,19
195850,34
324203,11
128058,9
432897,17
417374,9
571690,27
577783,23
196490,23
148677,24
339346,13
489088,24
546343,11
201727,23
569079,9
445141,11
399540,16
577759,15
492491,9
289658,23
140456,11
34842,22
229968,9
255791,9
344325,9
276794,26
211327,29
524233,21
297969,14
24790,12
318190,23
126810,10
82255,33
107188,7
251448,30
348111,29
46725,9
95281,21
336251,18
484456,19
381377,9
256897,9
329126,25
371135,25
425790,12
167453,4
106935,12
203215,10
180935,14
64155,27
4975,24
281296,13
268644,24
965,11
38402,17
130685,9
176314,13
303340,21
136440,42
548095,15
306305,21
11304,18
122605,56
140065,19
307552,11
59151,8
560675,15
222280,12
268229,17
439970,7
130974,8
46924,10
492178,20
527378,7
418634,9
201573,15
247668,21
495233,39
161503,18
444018,34
536972,25
149327,18
80821,28
359535,11
254410,10
44446,21
212641,22
23840,11
530652,13
479219,12
193504,17
99139,10
346006,19
415378,31
84211,28
122839,28
35793,13
494817,20
135113,12
98361,23
459382,11
48194,27
268051,12
403225,15
207703,10
477273,12
27451,40
551811,19
538308,22
542313,14
375294,34
266756,23
244578,15
403692,10
167498,23
