id,count
2356347,14
2317429,38
2414610,16
2365091,37
2383120,11
2333990,22
2388203,14
2338364,21
2410301,16
2404368,14
2388350,23
2417454,17
2401749,37
2413148,11
2401672,27
2396483,20
2354861,42
2378834,45
2346802,19
2349091,15
2349250,26
2405497,21
2386780,29
2317457,24
2352212,8
2387143,33
2331342,10
2357480,25
2370177,16
2378007,15
2360954,26
2320044,14
2368918,17
2417994,28
2360460,30
2401242,16
2396878,16
2368880,12
2354489,17
2392451,15
2403007,38
2413944,31
2316275,19
2382460,38
2388707,33
2316231,17
2406250,34
2401288,31
2333103,31
2318908,12
2383333,12
2411473,45
2386923,20
2356028,17
2377511,21
2361789,16
2362015,14
2387230,24
2411249,12
2406321,15
2365282,20
2389676,43
2402629,15
2381097,16
285721,30
2374915,16
2381207,13
2340918,19
2337492,20
2375809,28
2402057,9
2401776,12
2356009,36
2333167,24
2392613,11
2373518,19
2316831,22
2370341,16
2400733,23
2402636,35
2345979,13
2326485,9
2340353,15
2391127,24
2367831,22
1067,15
2381729,15
2404777,23
2371141,29
497959,26
2401454,22
2337109,22
2399134,14
2354171,30
2339754,13
2385479,34
2353849,28
2339130,18
2397125,21
2329059,18
2398714,13
2388749,32
2342524,30
2323681,12
2358234,17
2412504,24
2327989,28
2325492,21
2319160,13
2360072,19
2321537,17
2361189,10
2391165,14
2341434,30
2322395,15
2369707,52
2318166,19
2412391,50
2345464,28
2323107,19
2403010,29
2334706,15
2380807,15
2325391,17
2388189,10
2395479,12
2351333,14
2394361,13
2336456,24
2365821,23
2385334,22
2400258,14
2359939,42
2326783,20
2395246,15
2350786,14
2400785,51
2384021,36
2372386,13
2352948,43
2383803,16
2398909,16
2334029,21
2416216,54
2374351,36
2387231,28
286037,17
2352159,38
2315868,17
2399066,14
2414555,14
2375723,11
2356955,25
2381368,11
2402179,42
2411909,13
2331231,51
2380121,17
2410036,28
2382243,22
2413755,12
2381161,44
2354140,12
2397359,13
2374164,29
2390131,26
924,15
2327905,14
2326328,45
2317379,41
2396735,27
2358349,26
2406439,14
2372059,25
724,18
2337219,14
2369225,21
2399504,60
2398443,44
2344866,10
2347946,29
2357873,22
2322425,10
2364109,50
817,19
2317878,31
2387056,32
2349394,12
2390303,12
2394935,11
2380169,23
2416790,13
2344396,13
2378115,16
2340989,13
2407328,22
2350889,17
2394876,25
2407809,23
2353364,15
2350685,7
2408742,27
2391502,16
2342806,20
2348964,26
2356461,13
2376705,20
2341858,24
2379616,27
2348978,10
2409525,19
2327362,14
2388264,28
2350897,16
2366302,17
2396159,10
2389900,47
2341677,13
2345700,31
2361105,27
2352147,16
2399645,14
2409390,17
2378558,25
2389549,13
2340075,16
2374220,24
2317900,12
2322167,26
2400304,38
2413540,34
2409428,27
2337647,14
2414942,32
2335396,16
2365963,26
2371163,12
2363810,11
2409253,13
2375411,19
2414720,27
2367198,14
2361087,18
2404687,18
2360297,45
2325095,44
2340802,29
2408481,21
2396257,14
2323094,26
2344637,12
2323154,9
2378353,12
2412121,30
2366554,17
2359363,37
2399823,23
2351441,10
2364888,21
2392241,31
2338097,12
2337034,20
2371993,31
2346313,13
2319220,20
2345489,26
2405341,17
2358616,18
2368666,15
2371673,23
2360740,39
2327613,25
2405969,59
2330537,50
2323958,18
2328792,24
2339191,14
2342979,35
2345947,12
2358324,21
2348905,29
442,28
2376204,13
2381415,19
2331474,13
2348174,30
2363399,20
2380747,45
2365231,54
2404652,27
2326962,22
2377417,19
2354597,13
2378511,12
2329835,15
2406584,27
2351493,11
2335723,14
2396171,35
2350115,15
2403542,14
429,22
2395055,14
2406387,42
2399209,19
2388121,11
2354606,17
2384781,20
2383579,21
2410547,24
2329419,25
2381152,29
2406775,19
2387475,18
2350731,16
1243,12
2401429,17
2409231,32
2373122,76
2345455,12
2410980,20
2359895,15
2387262,28
2340693,9
2341989,13
2367706,23
2359747,12
2393188,49
2346292,13
2396019,15
2382915,10
2377950,16
2346430,15
2340834,22
2352174,47
2353393,33
2387201,31
2347223,18
2350925,12
2395381,14
2348877,26
2399701,14
2323745,18
2369479,11
2395962,29
2345862,12
2341608,16
2408766,14
2397517,13
2356767,23
2360627,22
2378845,12
2348913,11
2395666,14
2348826,17
131,11
2341573,25
2327096,26
2368050,28
2392622,17
2353047,27
2340622,13
2404178,26
2399793,14
2317623,40
2358437,15
2385455,37
2328986,30
2318710,16
2355476,20
2411885,16
2407954,14
2404915,29
2330780,28
2351302,12
2390263,19
2395797,32
2382449,43
2381327,24
2356768,18
2359914,15
2365700,26
2366962,15
2414822,19
2372782,15
2346348,27
2343089,48
2354971,18
2392194,29
2370228,27
2341578,66
2358975,26
2369471,33
2378640,21
2357022,29
2395910,24
2349142,13
2394198,20
2415976,22
2375646,16
2346435,20
2367717,12
2371969,21
2387724,20
2397674,13
2409144,12
2378991,19
2346411,17
2374819,30
2407371,16
2383151,22
2341532,14
2401424,28
2391358,56
2363036,25
2357092,12
2375300,16
2351814,17
2358549,14
2327810,27
2340836,25
2384212,29
2356360,48
2356053,8
2394332,23
2354544,34
2325876,79
2391351,18
2411629,23
2388801,28
2368758,10
2355670,10
2359653,10
2389597,14
2361805,24
2340978,33
2360114,22
2348543,35
2371276,11
2378369,24
2382020,14
2352060,12
2388874,29
2410855,21
2385174,14
2341557,20
2392331,20
2348418,10
2407896,21
175,12
2394355,16
2414823,28
2381785,16
2366993,19
2378662,39
2380599,94
2349250,59
2371802,31
2341175,18
2372669,32
2363903,15
2341363,10
2360051,16
2376785,12
2368188,13
2379974,20
2351898,17
2364449,32
2327345,21
2353069,12
2328835,39
2345913,32
2341937,19
2374094,22
2389609,16
2318487,24
2355143,14
2368237,16
2380244,18
2350244,13
2345405,11
2374820,15
2374231,19
2396690,12
2387609,21
2361296,13
2414069,29
2404312,27
2380774,17
2353479,20
2405242,69
2414722,16
2367150,16
2408052,13
2412969,16
2352793,24
2347810,39
2379920,41
2404149,66
2377296,23
2377447,27
2355009,30
2360554,23
2358662,28
2380192,13
2316326,20
2346393,17
2360705,19
2376930,27
2357354,30
2360362,29
2396530,16
2367359,28
2354611,16
2394978,14
2345966,20
2410023,15
2394542,42
2353008,15
2375044,13
2325413,22
2386926,13
2336638,25
2407733,17
2376640,32
2362937,17
2413110,39
2397136,16
2392870,15
2382602,15
2373821,13
2389894,15
2380789,15
2382093,19
2358671,14
2399594,21
2366569,40
2391257,10
2352807,24
2384379,28
2410115,17
2329168,24
2351109,13
2378698,21
2378423,25
2408902,11
2348943,14
2406082,9
2344241,61
2351198,27
2412456,22
2342062,13
2346009,29
2336845,19
2327824,21
2374704,20
2414613,11
2383531,19
